3	342.553190
4	303.726337	304.473636
5	270.161108	262.590796	260.080900
6	215.080205	209.546842	199.925690
7	177.855504	148.967590	149.556627
8	168.535635	140.756994	147.110705
9	149.844448	132.276417	134.926653
10	153.286157	112.053537	112.268550
11	136.793910	117.116842	106.751246
12	132.229663	100.585441	95.995070
13	122.339877	84.251992	88.397695
14	119.033394	78.081203	75.587362
15	117.381374	81.990043	84.158842
16	110.867572	79.691419	73.010652
17	116.947593	76.057786	69.351989
18	116.191824	82.568846	69.817355
19	119.842218	83.412782	72.574441
20	117.079515	90.823014	72.403966
21	112.129754	81.742178	74.058915
22	119.158555	84.861518	74.645369
23	115.593035	81.986360	75.911708
24	114.822098	88.749836	70.782050
25	118.875331	85.044755	73.158457
26	118.120874	93.509955	70.602448
27	114.262354	88.344802	70.013661
28	117.471847	88.764564	75.233783
29	113.685411	97.831303	73.708192
30	115.784355	94.313516	74.349806
