3	48.325912
4	98.515519	98.196081
5	64.527823	53.628569	53.490840
6	102.572696	101.272123	101.557108
7	97.034385	86.393330	88.643411
8	94.190560	86.793714	90.892237
9	118.510127	98.018095	101.218911
10	124.223504	101.341335	106.650471
11	105.971643	81.180154	84.196358
12	110.869057	80.453163	80.822678
13	105.408360	93.919331	86.210092
14	96.537173	79.958398	84.601845
15	100.915592	80.786431	78.932430
16	98.762014	82.275378	77.797118
17	105.979923	75.748617	73.331208
18	99.398155	78.900313	76.265650
19	95.995151	74.087267	74.779754
20	98.172318	69.762499	76.670536
21	98.838445	74.603145	74.680943
22	97.603714	69.897149	73.627706
23	98.663074	64.928308	75.140859
24	101.153344	81.827670	78.022144
25	104.434115	66.869615	69.567273
26	102.128400	77.474465	71.822700
27	96.073949	69.253604	70.522063
28	95.407127	60.403709	60.898449
29	100.061290	65.248003	62.541471
30	107.104685	64.864203	60.529824
