3	331.806216
4	343.841566	342.495757
5	263.179041	253.814451	253.675797
6	232.523131	232.979672	233.822585
7	195.314266	184.281841	184.314058
8	166.326624	152.394865	157.586561
9	172.589227	154.874089	156.743908
10	153.510733	135.345609	138.765078
11	126.481887	105.710486	107.397087
12	126.292316	103.710658	103.580779
13	118.147012	109.832518	100.891303
14	106.532008	90.570946	96.566315
15	106.829390	89.464537	87.642801
16	100.159797	83.791947	79.307423
17	107.018408	78.370220	75.904180
18	99.717419	79.317961	76.686213
19	96.168109	74.268988	74.961988
20	98.172318	69.762499	76.670536
21	98.991592	74.764773	74.842544
22	97.603714	69.897149	73.627706
23	98.663074	64.928308	75.140859
24	101.153344	81.827670	78.022144
25	104.434115	66.869615	69.567273
26	102.128400	77.474465	71.822700
27	96.073949	69.253604	70.522063
28	95.407127	60.403709	60.898449
29	100.061290	65.248003	62.541471
30	107.104685	64.864203	60.529824
