3	343.059559
4	299.864668	300.233526
5	274.850597	261.312212	265.640422
6	177.199092	176.368790	178.185411
7	145.852534	144.751902	140.058650
8	111.446092	124.421725	117.650535
9	118.813088	106.463133	104.726716
10	91.486485	73.513089	79.642765
11	68.848578	60.344892	65.099552
12	79.748213	66.708746	60.699968
13	85.172035	58.916315	56.259323
14	85.038816	64.010703	54.887079
15	71.689357	60.876599	53.961270
16	78.150653	50.954580	49.903451
17	69.014587	53.692757	45.375552
18	70.604397	49.809302	41.271751
19	77.122272	56.753700	44.052716
20	74.865834	55.009576	45.744815
21	69.826490	51.821028	39.201152
22	68.685131	45.040803	41.462296
23	71.008905	48.176120	38.872710
24	67.916792	47.014749	41.505038
25	64.571672	45.713000	37.053965
26	64.132866	44.070707	36.305052
27	67.777968	47.338514	36.881591
28	66.885775	44.295629	36.835533
29	63.817910	44.483827	35.999141
30	61.065040	40.235312	33.376588
