3	177.394732
4	148.334641	139.845900
5	149.017282	133.113193	141.660231
6	100.481968	101.438772	102.154758
7	110.220097	99.248097	97.965442
8	94.761582	107.000868	99.997256
9	107.067665	97.283473	95.325649
10	88.216770	69.887164	75.342826
11	67.973683	59.297411	63.414570
12	79.764282	66.636228	60.619922
13	85.172035	58.916315	56.259323
14	85.038816	64.010703	54.887079
15	71.689357	60.876599	53.961270
16	78.150653	50.954580	49.903451
17	69.014587	53.692757	45.375552
18	70.604397	49.809302	41.271751
19	77.122272	56.753700	44.052716
20	74.865834	55.009576	45.744815
21	69.826490	51.821028	39.201152
22	68.685131	45.040803	41.462296
23	71.008905	48.176120	38.872710
24	67.916792	47.014749	41.505038
25	64.571672	45.713000	37.053965
26	64.132866	44.070707	36.305052
27	67.777968	47.338514	36.881591
28	66.885775	44.295629	36.835533
29	63.817910	44.483827	35.999141
30	61.065040	40.235312	33.376588
